"","lake_id","lake_name","county","latitude","longitude","reachcode"
"158",184,"Toketee Lake","Douglas",43.26803,-122.413,17100301005580
"159",185,"Torrey Lake","Lane",43.79659,-122.016,17090001001071
"160",186,"Trail Bridge Reservoir","Linn",44.27847,-122.047,17090004007106
"161",187,"Trillium Lake","Clackamas",45.27079,-121.739,17080001017715
"162",188,"Unity Reservoir","Baker",44.50785,-118.199,17050202004614
"163",189,"Upper Cow Lake","Malheur",43.10025,-117.315,17050108001493
"164",190,"Upper Tumalo Reservoir","Deschutes",44.13707,-121.422,17070301005246
"165",191,"Valsetz Lake (historical)","Polk",44.83765,-123.661,17100204000797
"166",192,"Vernonia Lake","Columbia",45.85505,-123.174,17100202004833
"167",193,"Wahtum Lake","Hood River",45.58187,-121.795,17070105019093
"168",194,"Walton Lake","Wheeler",44.43541,-120.335,17070305000758
"169",195,"Warm Springs Reservoir","Harney",43.61727,-118.239,17050116004933
"170",196,"Willow Lake","Jackson",42.4732,-122.448,17100307007018
"171",197,"Willow Valley Reservoir","Klamath",42.01059,-121.107,18010204002588
"172",198,"Winopee Lake","Deschutes",43.88082,-121.904,17070301000874
"173",199,"Wolf Creek Reservoir","Union",45.05671,-118.025,17050203006039
"174",200,"Moon Reservoir","Harney",43.42131,-119.414,17120004003024
"175",201,"Powers Pond","Coos",42.89044,-124.078,17100305009185
"176",202,"Klipple Lake","Klamath",42.68722,-121.022,18010202001129
"177",1,"Lake Abert","Lake",42.63133,-120.218,17120006001102
"178",2,"Beulah Reservoir","Malheur",43.93008,-118.152,17050116004636
"179",3,"Lake Billy Chinook","Jefferson",44.5603,-121.334,17070301004153
"180",4,"Blue Lake","Multnomah",45.55378,-122.449,17090012000361
"181",5,"Bull Run Lake","Clackamas",45.45441,-121.831,17080001017626
"182",6,"Bybee Lake","Multnomah",45.62112,-122.744,17090012006624
"183",7,"Smith Lake","Multnomah",45.60991,-122.728,17090012006623
"184",8,"Clear Lake","Lane",44.02257,-124.08,17100206000579
"185",9,"Crane Prairie Reservoir","Deschutes",43.7841,-121.798,17070301000895
"186",10,"Crater Lake","Klamath",42.94178,-122.107,18010201000427
"187",203,"Piute Reservoir","Lake",42.06902,-119.564,17120008002810
"188",204,"Edna, Lake","Douglas",43.63178,-124.179,17100304000653
"189",205,"Officers Reservoir","Grant",43.98891,-119.392,17070201006146
"190",206,"Baca Lake","Harney",42.91792,-118.853,17120003002211
"191",207,"Junipers Reservoir","Lake",42.19963,-120.525,18020001001183
"192",208,"Van Patten Lake","Baker",44.95427,-118.186,17050203001856
"193",209,"Ice Lake","Wallowa",45.22901,-117.273,17060105000762
"194",210,"Pelican Lake","Lake",42.20425,-119.881,17120007341785
"195",211,"Clear Creek Reservoir","Baker",45.06296,-117.153,17050201000974
"196",212,"Lucky Reservoir","Lake",42.12009,-119.998,17120007342050
"197",213,"Bradley Lake","Coos",43.06561,-124.427,17100306004496
"198",11,"Crescent Lake","Klamath",43.47898,-121.993,17070302000357
"199",12,"Cullaby Lake","Clatsop",46.08451,-123.903,17080006006735
"200",13,"Cultus Lake","Deschutes",43.83818,-121.86,17070301000888
"201",14,"Davis Lake","Deschutes",43.61585,-121.846,17070301000914
"202",15,"Detroit Lake","Marion",44.71064,-122.187,17090005012370
"203",16,"Devils Lake","Lincoln",44.98282,-123.995,17100204000796
"204",17,"Diamond Lake","Douglas",43.16023,-122.152,17100301001023
"205",18,"East Lake","Deschutes",43.72772,-121.211,17070302000350
"206",19,"Elk Lake","Deschutes",43.9737,-121.802,17070301000862
"207",20,"Emigrant Lake","Jackson",42.14719,-122.604,17100308006269
"208",21,"Fern Ridge Lake","Lane",44.0863,-123.297,17090003017645
"209",22,"Garrison Lake","NA",42.7537,-124.508,17100306000373
"210",23,"Goose Lake","NA",41.93575,-120.418,18020001001236
"211",24,"Henry Hagg Lake","Washington",45.48452,-123.22,17090010004615
"212",25,"Hills Creek Lake","Lane",43.66437,-122.424,17090001005308
"213",26,"Howard Prairie Lake","Jackson",42.23412,-122.407,18010206001019
"214",27,"Lake of the Woods","Klamath",42.36702,-122.216,18010203003546
"215",28,"Lost Creek Lake","Jackson",42.68828,-122.624,17100307006266
"216",29,"Lost Lake","Hood River",45.48935,-121.822,17070105019287
"217",30,"Marion Lake","Linn",44.55752,-121.862,17090005000775
"218",31,"McKay Reservoir","Umatilla",45.58605,-118.783,17070103004024
"219",32,"Mercer Lake","Lane",44.054,-124.069,17100205000491
"220",33,"Munsel Lake","Lane",44.00815,-124.082,17100206000581
"221",34,"Odell Lake","Klamath",43.57147,-122.003,17070301000918
"222",35,"Olallie Lake","Jefferson",44.80672,-121.786,17070306002036
"223",36,"Lake Oswego","Clackamas",45.40797,-122.693,17090012000369
